slug,url,business_name,address,phone,email,website,services,location,description,extraction_method,raw_data,extracted_at
bb49m,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/bb49m,,,,,,,,,,,2025-06-20T13:11:20.184709
fb37i,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/fb37i,,,,,,,,,,,2025-06-20T13:11:20.183724
ji39e,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ji39e,,,,,,,,,,,2025-06-20T13:11:20.187310
ba29u,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ba29u,,,,,,,,,,,2025-06-20T13:11:22.509434
jm09a,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/jm09a,,,,,,,,,,,2025-06-20T13:11:22.556239
od46y,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/od46y,,,,,,,,,,,2025-06-20T13:11:22.558877
ao09l,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ao09l,,,,,,,,,,,2025-06-20T13:11:24.854633
cm72x,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/cm72x,,,,,,,,,,,2025-06-20T13:11:24.906908
ph06f,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ph06f,,,,,,,,,,,2025-06-20T13:11:24.906116
wb02l,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/wb02l,,,,,,,,,,,2025-06-20T13:11:27.216967
an32l,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/an32l,,,,,,,,,,,2025-06-20T13:11:27.299364
ki38l,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ki38l,,,,,,,,,,,2025-06-20T13:11:27.301436
li75b,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/li75b,,,,,,,,,,,2025-06-20T13:11:29.578234
ao30j,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ao30j,,,,,,,,,,,2025-06-20T13:11:29.647946
qb22i,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/qb22i,,,,,,,,,,,2025-06-20T13:11:42.049611
zm10l,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/zm10l,,,,,,,,,,,2025-06-20T13:11:42.050261
ld19e,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ld19e,,,,,,,,,,,2025-06-20T13:11:42.052421
fu42w,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/fu42w,,,,,,,,,,,2025-06-20T13:11:44.511292
zs39u,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/zs39u,,,,,,,,,,,2025-06-20T13:11:44.513121
no52l,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/no52l,,,,,,,,,,,2025-06-20T13:11:44.508293
rn11f,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/rn11f,,,,,,,,,,,2025-06-20T13:11:46.879261
lm70z,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/lm70z,,,,,,,,,,,2025-06-20T13:11:46.882244
