slug,tested_at,enterprise_status,enterprise_business_name,enterprise_classification,enterprise_page_title,enterprise_content_length,enterprise_load_time,enterprise_url,enterprise_final_url,enterprise_business_indicators,enterprise_error_indicators,hydreight_status,hydreight_business_name,hydreight_classification,hydreight_page_title,hydreight_content_length,hydreight_load_time,hydreight_url,hydreight_final_url,hydreight_business_indicators,hydreight_error_indicators,enterprise_active,hydreight_active,both_active,either_active,primary_business_name,primary_platform
MTIwMA==,2025-06-29T11:59:50.672968,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,10.901479005813599,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTIwMA==,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ACTIVE,Infuz,ACTIVE_BUSINESS,Infuz,45275,10.013098001480103,https://booking.hydreight.com/b/MTIwMA==,https://booking.hydreight.com/widget-business/uf54c,5,2,False,True,False,True,Infuz,Hydreight
MTIwMQ==,2025-06-29T12:00:09.369439,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,8.365214347839355,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTIwMQ==,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,10.222919940948486,https://booking.hydreight.com/b/MTIwMQ==,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
MTIwMg==,2025-06-29T12:00:23.641688,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,7.131249189376831,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTIwMg==,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,7.032486915588379,https://booking.hydreight.com/b/MTIwMg==,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
MTIwMw==,2025-06-29T12:00:37.831748,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,6.976189136505127,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTIwMw==,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,7.106940984725952,https://booking.hydreight.com/b/MTIwMw==,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
MTIwNA==,2025-06-29T12:00:56.788258,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,9.954843759536743,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTIwNA==,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ACTIVE,Northern Lytes Wellness LLC,ACTIVE_BUSINESS,Northern Lytes Wellness LLC,45483,8.89345669746399,https://booking.hydreight.com/b/MTIwNA==,https://booking.hydreight.com/widget-business/sm56i,8,2,False,True,False,True,Northern Lytes Wellness LLC,Hydreight
MTIwNQ==,2025-06-29T12:01:13.786829,TIMEOUT,,TIMEOUT_ERROR,,0,10,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTIwNQ==,,0,0,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,6.837579011917114,https://booking.hydreight.com/b/MTIwNQ==,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
MTIwNg==,2025-06-29T12:01:29.148881,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,7.990367889404297,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTIwNg==,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,7.263280868530273,https://booking.hydreight.com/b/MTIwNg==,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
MTIwNw==,2025-06-29T12:01:43.909821,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,7.566324949264526,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTIwNw==,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,7.086621046066284,https://booking.hydreight.com/b/MTIwNw==,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
MTIwOA==,2025-06-29T12:01:57.353903,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,6.713854074478149,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTIwOA==,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,6.622053861618042,https://booking.hydreight.com/b/MTIwOA==,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
MTIwOQ==,2025-06-29T12:02:11.229583,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,6.91897177696228,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTIwOQ==,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,6.848241090774536,https://booking.hydreight.com/b/MTIwOQ==,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
MTIxMA==,2025-06-29T12:02:25.830834,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,7.4108970165252686,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTIxMA==,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ACTIVE,"Hydrate 315, LLC",ACTIVE_BUSINESS,"Hydrate 315, LLC",33774,7.081909894943237,https://booking.hydreight.com/b/MTIxMA==,https://booking.hydreight.com/b/MTIxMA==,9,1,False,True,False,True,"Hydrate 315, LLC",Hydreight
MTIxMQ==,2025-06-29T12:02:40.157645,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,6.894002199172974,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTIxMQ==,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,7.324386119842529,https://booking.hydreight.com/b/MTIxMQ==,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
MTIxMg==,2025-06-29T12:02:53.290384,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,6.821738958358765,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTIxMg==,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,6.202506065368652,https://booking.hydreight.com/b/MTIxMg==,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
MTIxMw==,2025-06-29T12:03:06.118229,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,6.531032085418701,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTIxMw==,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,6.188401937484741,https://booking.hydreight.com/b/MTIxMw==,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
MTIxNA==,2025-06-29T12:03:19.330581,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,6.474368095397949,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTIxNA==,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,6.62950873374939,https://booking.hydreight.com/b/MTIxNA==,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
MTIxNQ==,2025-06-29T12:03:33.383437,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,6.704779863357544,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTIxNQ==,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,7.239621877670288,https://booking.hydreight.com/b/MTIxNQ==,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
MTIxNg==,2025-06-29T12:03:46.019506,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,6.655837774276733,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTIxNg==,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,5.871738910675049,https://booking.hydreight.com/b/MTIxNg==,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
MTIxNw==,2025-06-29T12:04:00.326489,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,6.664052963256836,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTIxNw==,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,7.534768104553223,https://booking.hydreight.com/b/MTIxNw==,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
MTIxOA==,2025-06-29T12:04:12.720195,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,6.487035036087036,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTIxOA==,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,5.798224925994873,https://booking.hydreight.com/b/MTIxOA==,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
MTIxOQ==,2025-06-29T12:04:25.516820,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,6.876289129257202,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTIxOQ==,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,5.8120810985565186,https://booking.hydreight.com/b/MTIxOQ==,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
MTIyMA==,2025-06-29T12:04:36.983580,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,5.288167953491211,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTIyMA==,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,6.070373058319092,https://booking.hydreight.com/b/MTIyMA==,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
MTIyMQ==,2025-06-29T12:04:49.064028,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,6.685419082641602,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTIyMQ==,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,5.281613111495972,https://booking.hydreight.com/b/MTIyMQ==,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
MTIyMg==,2025-06-29T12:05:01.671499,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,6.527937173843384,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTIyMg==,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ACTIVE,Homeostasis Hydration,ACTIVE_BUSINESS,Homeostasis Hydration,36535,5.966085910797119,https://booking.hydreight.com/b/MTIyMg==,https://booking.hydreight.com/widget-business/zh78a,5,1,False,True,False,True,Homeostasis Hydration,Hydreight
MTIyMw==,2025-06-29T12:05:16.622759,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,6.709411144256592,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTIyMw==,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ACTIVE,Amanda Faro,ACTIVE_BUSINESS,Amanda Faro,32152,8.128443241119385,https://booking.hydreight.com/b/MTIyMw==,https://booking.hydreight.com/widget-business/gt59r,2,2,False,True,False,True,Amanda Faro,Hydreight
MTIyNA==,2025-06-29T12:05:30.301140,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,8.29333782196045,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTIyNA==,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,5.27164888381958,https://booking.hydreight.com/b/MTIyNA==,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
