slug,status,business_name,services,load_time,content_length,business_indicators,error_indicators,final_url,page_title,timestamp
mm82q,ACTIVE,The DRIPBaR,"Weight Loss, Therapy",6.808225870132446,1905,5,0,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/mm82q,The DRIPBaR Direct - Grand Rapids (IL),2025-06-22T09:19:37.751867
lz31e,ACTIVE,The DRIPBaR,"Weight Loss, Therapy",7.437840938568115,1750,5,0,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/lz31e,The DRIPBaR Direct - North Carolina (OK),2025-06-22T09:19:37.751887
