slug,status,business_name,services,load_time,content_length,business_indicators,error_indicators,final_url,page_title,timestamp
vt19u,ACTIVE,The DRIPBaR,"Weight Loss, Therapy",8.796369075775146,1837,5,0,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/vt19u,The DRIPBaR Direct - Manhattan (KS),2025-06-22T09:23:45.223159
au45t,ACTIVE,The DRIPBaR,"Weight Loss, Therapy",7.22448205947876,1834,5,0,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/au45t,The DRIPBaR Direct - Hawaii (MD),2025-06-22T09:23:45.223171
qq24l,ACTIVE,The DRIPBaR,"Weight Loss, Therapy",7.392016887664795,1836,5,0,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/qq24l,The DRIPBaR Direct - Cranford (NV),2025-06-22T09:23:45.223178
