slug,status,business_name,services,load_time,content_length,business_indicators,error_indicators,final_url,page_title,timestamp
zp96w,ACTIVE,The DRIPBaR,"Weight Loss, Therapy",7.467299699783325,1836,5,0,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/zp96w,The DRIPBaR Direct - Cranford (MD),2025-06-22T09:04:53.012039
ao92j,ACTIVE,The DRIPBaR,"Weight Loss, Therapy",7.397094249725342,1843,5,0,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ao92j,The DRIPBaR Direct - Rochester Hills (VT),2025-06-22T09:04:53.012078
