slug,slug_number,original_url,final_url,page_title,business_name,business_type,location_info,contact_info,services,specializations,business_description,operating_hours,pricing_info,redirect_info,widget_business_slug,page_structure,meta_data,business_indicators,error_indicators,content_quality,social_media,images_count,load_time,content_length,collected_at,error_type,error_message
MTAwMA==,1000,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwMA==,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwMA==,,,IV Therapy/Wellness,"['71689', '63672', '67264', '73939', '21474', '54410', '43550', '03836', '70974', '51254']","{'phones': ['2147483647'], 'websites': ['https://cdn.logr-ingest.com/logger', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com', 'https://jsd-widget.atlassian.com/assets/embed.js', 'https://wsrv.nl/?url=&amp']}",,,,,,No redirect,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 11, 'image_count': 0, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",0,2,Low,,0,3.0,33671,2025-06-24T22:36:51.415515,,
MTAwMQ==,1001,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwMQ==,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwMQ==,,,IV Therapy/Wellness,"['71689', '63672', '67264', '73939', '21474', '54410', '43550', '03836', '70974', '51254']","{'phones': ['2147483647'], 'websites': ['https://cdn.logr-ingest.com/logger', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com', 'https://jsd-widget.atlassian.com/assets/embed.js', 'https://wsrv.nl/?url=&amp']}",,,,,,No redirect,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 11, 'image_count': 0, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",0,2,Low,,0,5.09,33649,2025-06-24T22:36:56.731783,,
MTAwMg==,1002,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwMg==,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwMg==,,,IV Therapy/Wellness,"['71689', '63672', '67264', '73939', '21474', '54410', '43550', '03836', '70974', '51254']","{'phones': ['2147483647'], 'websites': ['https://cdn.logr-ingest.com/logger', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com', 'https://jsd-widget.atlassian.com/assets/embed.js', 'https://wsrv.nl/?url=&amp']}",,,,,,No redirect,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 11, 'image_count': 0, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",0,2,Low,,0,1.2,33649,2025-06-24T22:36:58.152042,,
MTAwMw==,1003,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwMw==,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwMw==,,,IV Therapy/Wellness,"['71689', '63672', '67264', '73939', '21474', '54410', '43550', '03836', '70974', '51254']","{'phones': ['2147483647'], 'websites': ['https://cdn.logr-ingest.com/logger', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com', 'https://jsd-widget.atlassian.com/assets/embed.js', 'https://wsrv.nl/?url=&amp']}",,,,,,No redirect,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 11, 'image_count': 0, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",0,2,Low,,0,8.58,33649,2025-06-24T22:37:06.954777,,
MTAwNA==,1004,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwNA==,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwNA==,,,IV Therapy/Wellness,"['71689', '63672', '67264', '73939', '21474', '54410', '43550', '03836', '70974', '51254']","{'phones': ['2147483647'], 'websites': ['https://cdn.logr-ingest.com/logger', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com', 'https://jsd-widget.atlassian.com/assets/embed.js', 'https://wsrv.nl/?url=&amp']}",,,,,,No redirect,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 11, 'image_count': 0, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",0,2,Low,,0,1.04,33649,2025-06-24T22:37:08.216097,,
MTAwNQ==,1005,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwNQ==,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwNQ==,,,IV Therapy/Wellness,"['71689', '63672', '67264', '73939', '21474', '54410', '43550', '03836', '70974', '51254']","{'phones': ['2147483647'], 'websites': ['https://cdn.logr-ingest.com/logger', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com', 'https://jsd-widget.atlassian.com/assets/embed.js', 'https://wsrv.nl/?url=&amp']}",,,,,,No redirect,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 11, 'image_count': 0, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",0,2,Low,,0,1.26,33649,2025-06-24T22:37:09.703931,,
MTAwNg==,1006,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwNg==,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwNg==,,,IV Therapy/Wellness,"['71689', '63672', '67264', '73939', '21474', '54410', '43550', '03836', '70974', '51254']","{'phones': ['2147483647'], 'websites': ['https://cdn.logr-ingest.com/logger', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com', 'https://jsd-widget.atlassian.com/assets/embed.js', 'https://wsrv.nl/?url=&amp']}",,,,,,No redirect,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 11, 'image_count': 0, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",0,2,Low,,0,3.34,33649,2025-06-24T22:37:13.262596,,
MTAwNw==,1007,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwNw==,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwNw==,,,IV Therapy/Wellness,"['71689', '63672', '67264', '73939', '21474', '54410', '43550', '03836', '70974', '51254']","{'phones': ['2147483647'], 'websites': ['https://cdn.logr-ingest.com/logger', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com', 'https://jsd-widget.atlassian.com/assets/embed.js', 'https://wsrv.nl/?url=&amp']}",,,,,,No redirect,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 11, 'image_count': 0, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",0,2,Low,,0,0.85,33649,2025-06-24T22:37:14.331822,,
MTAwOA==,1008,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwOA==,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwOA==,,,IV Therapy/Wellness,"['71689', '63672', '67264', '73939', '21474', '54410', '43550', '03836', '70974', '51254']","{'phones': ['2147483647'], 'websites': ['https://cdn.logr-ingest.com/logger', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com', 'https://jsd-widget.atlassian.com/assets/embed.js', 'https://wsrv.nl/?url=&amp']}",,,,,,No redirect,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 11, 'image_count': 0, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",0,2,Low,,0,3.02,33649,2025-06-24T22:37:17.576316,,
MTAwOQ==,1009,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwOQ==,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwOQ==,,,IV Therapy/Wellness,"['71689', '63672', '67264', '73939', '21474', '54410', '43550', '03836', '70974', '51254']","{'phones': ['2147483647'], 'websites': ['https://cdn.logr-ingest.com/logger', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com', 'https://jsd-widget.atlassian.com/assets/embed.js', 'https://wsrv.nl/?url=&amp']}",,,,,,No redirect,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 11, 'image_count': 0, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",0,2,Low,,0,0.85,33649,2025-06-24T22:37:18.648105,,
