slug,tested_at,enterprise_status,enterprise_business_name,enterprise_classification,enterprise_page_title,enterprise_content_length,enterprise_load_time,enterprise_url,enterprise_final_url,enterprise_business_indicators,enterprise_error_indicators,hydreight_status,hydreight_business_name,hydreight_classification,hydreight_page_title,hydreight_content_length,hydreight_load_time,hydreight_url,hydreight_final_url,hydreight_business_indicators,hydreight_error_indicators,enterprise_active,hydreight_active,both_active,either_active,primary_business_name,primary_platform
MTAw,2025-06-28T11:01:13.249488,ACTIVE,undefined,ACTIVE_BUSINESS,undefined,31648,10.391780853271484,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAw,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ACTIVE,undefined,ACTIVE_BUSINESS,undefined,31260,6.1421959400177,https://booking.hydreight.com/b/MTAw,https://booking.hydreight.com/widget,2,2,True,True,True,True,undefined,Enterprise
MTAx,2025-06-28T11:01:29.308363,ACTIVE,undefined,ACTIVE_BUSINESS,undefined,31648,8.87828803062439,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAx,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ACTIVE,undefined,ACTIVE_BUSINESS,undefined,31260,7.073846101760864,https://booking.hydreight.com/b/MTAx,https://booking.hydreight.com/widget,2,2,True,True,True,True,undefined,Enterprise
MTAy,2025-06-28T11:01:43.316329,ACTIVE,undefined,ACTIVE_BUSINESS,undefined,31648,7.6696178913116455,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAy,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ACTIVE,undefined,ACTIVE_BUSINESS,undefined,31260,6.231192111968994,https://booking.hydreight.com/b/MTAy,https://booking.hydreight.com/widget,2,2,True,True,True,True,undefined,Enterprise
MTAz,2025-06-28T11:01:57.724710,ACTIVE,undefined,ACTIVE_BUSINESS,undefined,31648,8.012042999267578,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAz,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ACTIVE,undefined,ACTIVE_BUSINESS,undefined,31260,6.2888100147247314,https://booking.hydreight.com/b/MTAz,https://booking.hydreight.com/widget,2,2,True,True,True,True,undefined,Enterprise
MTA0,2025-06-28T11:02:11.548133,ACTIVE,undefined,ACTIVE_BUSINESS,undefined,31648,7.816839933395386,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTA0,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ACTIVE,undefined,ACTIVE_BUSINESS,undefined,31260,5.899472236633301,https://booking.hydreight.com/b/MTA0,https://booking.hydreight.com/widget,2,2,True,True,True,True,undefined,Enterprise
