slug,url,final_url,status,classification,business_name,business_indicators,error_indicators,indicators_found,error_indicators_found,page_title,content_length,load_time,content_preview,error_details,tested_at
MTM3,https://booking.hydreight.com/b/MTM3,https://booking.hydreight.com/widget-business/io32b,ACTIVE,ACTIVE_BUSINESS,Hydreight - Location,5,1,"['book', 'appointment', 'service', 'select', 'hydreight']",['error'],Hydrate Scottsdale,36530,3.978990077972412,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title>hydrate scottsdale</title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet",,2025-06-26T00:51:06.393871
MTM4,https://booking.hydreight.com/b/MTM4,https://booking.hydreight.com/widget,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,2,2,"['select', 'hydreight']","['error', ""the link you've opened isn't working as expected""]",,32447,5.300812005996704,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" href=""https://fo",,2025-06-26T00:51:11.806683
MTM5,https://booking.hydreight.com/b/MTM5,https://booking.hydreight.com/widget,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,2,2,"['select', 'hydreight']","['error', ""the link you've opened isn't working as expected""]",,31242,3.9110231399536133,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" href=""https://fo",,2025-06-26T00:51:15.820634
MTQw,https://booking.hydreight.com/b/MTQw,https://booking.hydreight.com/widget,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,2,2,"['select', 'hydreight']","['error', ""the link you've opened isn't working as expected""]",,31242,3.8999791145324707,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" href=""https://fo",,2025-06-26T00:51:19.825530
MTQx,https://booking.hydreight.com/b/MTQx,https://booking.hydreight.com/widget-business/pl75y,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,2,2,"['select', 'hydreight']","['error', ""the link you've opened isn't working as expected""]",,32033,4.570959806442261,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" href=""https://fo",,2025-06-26T00:51:24.510334
MTQy,https://booking.hydreight.com/b/MTQy,https://booking.hydreight.com/widget,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,2,2,"['select', 'hydreight']","['error', ""the link you've opened isn't working as expected""]",,31864,6.083978891372681,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" href=""https://fo",,2025-06-26T00:51:30.697607
MTQz,https://booking.hydreight.com/b/MTQz,https://booking.hydreight.com/widget,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,2,2,"['select', 'hydreight']","['error', ""the link you've opened isn't working as expected""]",,31242,3.8502888679504395,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" href=""https://fo",,2025-06-26T00:51:34.659760
MTQ0,https://booking.hydreight.com/b/MTQ0,https://booking.hydreight.com/widget,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,2,2,"['select', 'hydreight']","['error', ""the link you've opened isn't working as expected""]",,31242,4.044152021408081,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" href=""https://fo",,2025-06-26T00:51:38.815137
MTQ1,https://booking.hydreight.com/b/MTQ1,https://booking.hydreight.com/widget,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,2,2,"['select', 'hydreight']","['error', ""the link you've opened isn't working as expected""]",,31242,4.0804808139801025,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" href=""https://fo",,2025-06-26T00:51:43.007028
MTQ2,https://booking.hydreight.com/b/MTQ2,https://booking.hydreight.com/widget,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,2,2,"['select', 'hydreight']","['error', ""the link you've opened isn't working as expected""]",,31242,4.418792247772217,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" href=""https://fo",,2025-06-26T00:51:47.537350
MTQ3,https://booking.hydreight.com/b/MTQ3,https://booking.hydreight.com/widget,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,2,2,"['select', 'hydreight']","['error', ""the link you've opened isn't working as expected""]",,31242,4.156483888626099,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" href=""https://fo",,2025-06-26T00:51:51.804844
MTQ4,https://booking.hydreight.com/b/MTQ4,https://booking.hydreight.com/widget,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,2,2,"['select', 'hydreight']","['error', ""the link you've opened isn't working as expected""]",,31242,4.087145090103149,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" href=""https://fo",,2025-06-26T00:51:56.003537
MTQ5,https://booking.hydreight.com/b/MTQ5,https://booking.hydreight.com/widget-business/ou59v,ACTIVE,ACTIVE_BUSINESS,Hydreight,6,2,"['book', 'appointment', 'service', 'select', 'hydreight', 'medical']","['401', 'error']",WEL Palm Beach,45297,4.201181888580322,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title>wel palm beach</title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" hr",,2025-06-26T00:52:00.307476
MTUw,https://booking.hydreight.com/b/MTUw,https://booking.hydreight.com/widget,ACTIVE,ACTIVE_BUSINESS,Hydreight,2,2,"['select', 'hydreight']","['error', ""the link you've opened isn't working as expected""]",WEL Palm Beach,31930,4.527660131454468,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title>wel palm beach</title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" hr",,2025-06-26T00:52:04.937442
