slug,tested_at,enterprise_status,enterprise_business_name,enterprise_classification,enterprise_page_title,enterprise_content_length,enterprise_load_time,enterprise_url,enterprise_final_url,enterprise_business_indicators,enterprise_error_indicators,hydreight_status,hydreight_business_name,hydreight_classification,hydreight_page_title,hydreight_content_length,hydreight_load_time,hydreight_url,hydreight_final_url,hydreight_business_indicators,hydreight_error_indicators,enterprise_active,hydreight_active,both_active,either_active,primary_business_name,primary_platform
NjAw,2025-07-01T14:21:58.222738,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,10.919074058532715,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NjAw,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,6.012592315673828,https://booking.hydreight.com/b/NjAw,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
NjAx,2025-07-01T14:22:16.567505,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,9.861144781112671,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NjAx,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,8.375257015228271,https://booking.hydreight.com/b/NjAx,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
NjAy,2025-07-01T14:22:29.055275,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,5.275592803955078,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NjAy,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,7.103743076324463,https://booking.hydreight.com/b/NjAy,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
NjAz,2025-07-01T14:22:47.205916,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,11.399282932281494,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NjAz,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,6.642935037612915,https://booking.hydreight.com/b/NjAz,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
NjA0,2025-07-01T14:23:01.871439,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,8.190485715866089,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NjA0,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ACTIVE,RN Therapeutics Holistic Health,ACTIVE_BUSINESS,RN Therapeutics Holistic Health,45263,6.3664939403533936,https://booking.hydreight.com/b/NjA0,https://booking.hydreight.com/widget-business/rn02n,5,2,False,True,False,True,RN Therapeutics Holistic Health,Hydreight
NjA1,2025-07-01T14:23:19.374962,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,8.09143328666687,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NjA1,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,9.30366587638855,https://booking.hydreight.com/b/NjA1,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
NjA2,2025-07-01T14:23:35.951143,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,11.196320056915283,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NjA2,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,5.271393060684204,https://booking.hydreight.com/b/NjA2,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
NjA3,2025-07-01T14:23:50.305965,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,7.707645893096924,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NjA3,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,6.53872013092041,https://booking.hydreight.com/b/NjA3,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
NjA4,2025-07-01T14:24:07.126478,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,10.292545080184937,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NjA4,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,6.419555187225342,https://booking.hydreight.com/b/NjA4,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
NjA5,2025-07-01T14:24:20.693987,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,7.132781982421875,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NjA5,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,6.326261043548584,https://booking.hydreight.com/b/NjA5,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
